scope_level,category1,category2,product_count,comment_count,products_with_comments,products_without_comments,product_comment_coverage_pct,products_with_at_least_5_comments,products_with_at_least_10_comments,products_with_at_least_20_comments,products_with_at_least_50_comments,median_comments_per_commented_product,p95_comments_per_commented_product,non_empty_body_count,buyer_comment_count,valid_positive_rating_count,unique_brand_count,products_with_valid_historical_price,historical_price_coverage_pct,historical_price_p05,historical_price_p50,historical_price_p95
category1,آبسلانگ,,30,728,28,2,93.33333333333333,19,14,7,4,10.0,118.19999999999996,727,710,671,3,30,100.0,130400.0,352600.0,2055499.9999999993
category1,آرایش ابرو,,930,19874,616,314,66.23655913978494,365,265,190,113,7.0,200.0,19874,19141,18581,119,929,99.89247311827957,181560.00000000003,999000.0,5475999.999999994
category1,آرایش صورت,,4282,42080,1304,2978,30.453059318075667,797,562,394,232,7.0,200.0,42078,39955,39961,258,4282,100.0,550000.0,2505400.0,15976149.999999985
category1,آرایش لب,,4752,63240,2112,2640,44.44444444444444,1129,842,626,352,5.0,200.0,63230,60247,59717,220,4752,100.0,400000.0,1350000.0,7935999.999999985
category1,آرایش مو,,13675,140293,7805,5870,57.074954296160875,3854,2587,1559,691,4.0,90.0,140281,136910,129781,238,13673,99.9853747714808,300000.0,750000.0,3300000.0
category1,آرایش چشم,,3261,39213,1188,2073,36.43054277828887,703,541,353,220,7.0,200.0,39209,37619,37439,188,3261,100.0,394000.0,1911000.0,13160000.0
category1,آغوشی,,79,0,0,79,0.0,0,0,0,0,,,0,0,0,5,79,100.0,1850000.0,2520000.0,13959999.999999996
category1,آلبوم عکس,,21,388,10,11,47.61904761904762,10,6,2,2,10.0,160.39999999999992,387,375,385,1,21,100.0,475000.0,800000.0,950000.0
category1,آموزش تعمیرات,,7,15,5,2,71.42857142857143,2,0,0,0,2.0,5.0,15,15,14,1,7,100.0,1870000.0,2040000.0,6854999.999999995
category1,آموزش زبان,,154,1652,123,31,79.87012987012987,56,33,15,7,3.0,53.49999999999979,1652,1497,1538,10,154,100.0,350000.0,1150000.0,4774999.999999998
category1,آموزش عکاسی و فیلم‌برداری,,12,50,9,3,75.0,3,1,1,0,2.0,18.799999999999994,50,47,43,3,12,100.0,500000.0,1310000.0,1970000.0
category1,آموزش موبایل و تبلت,,5,12,3,2,60.0,2,0,0,0,5.0,5.9,12,12,11,2,5,100.0,778000.0,1170000.0,9650000.0
category1,آموزش موسیقی,,136,848,115,21,84.55882352941177,50,23,8,1,3.0,20.0,848,756,759,9,136,100.0,380000.0,1360000.0,7000000.0
category1,آموزش نرم‌افزار و کامپیوتر,,936,3019,453,483,48.3974358974359,136,67,26,10,3.0,26.0,3019,2868,2689,14,936,100.0,400000.0,1590000.0,3900000.0
category1,آویز تخت کودک,,395,467,124,271,31.39240506329114,27,14,3,0,2.0,12.0,467,434,452,25,395,100.0,835000.0000000001,5250000.0,13894999.999999993
category1,ابزار ایمنی کودک و نوزاد,,503,0,0,503,0.0,0,0,0,0,,,0,0,0,18,503,100.0,299700.0,1850000.0,8491499.999999998
category1,ابزار توانمند سازی,,244,1954,169,75,69.26229508196721,89,56,22,9,5.0,50.99999999999994,1954,1876,1803,10,244,100.0,293000.0,2590000.0,19049999.99999998
category1,ابزار دستی,,339,4207,188,151,55.45722713864307,104,72,47,28,6.0,110.85000000000005,4207,4040,3903,13,339,100.0,899000.0,2599100.0,9886999.99999997
category1,ابزار طراحی و مهندسی,,1885,16586,681,1204,36.12732095490716,340,242,164,93,4.0,159.0,16586,16188,15692,28,1885,100.0,210000.0,259000.0,902500.0
category1,ابزار مراقبت از پوست,,408,13790,324,84,79.41176470588235,216,169,123,83,10.0,200.0,13790,12873,12749,43,407,99.75490196078431,330600.0,6510000.0,71399999.99999997
category1,ابزار مراقبت پا,,1324,22277,986,338,74.47129909365559,570,398,277,139,6.0,104.0,22276,21582,20926,25,1324,100.0,179000.0,800000.0,3090000.0
category1,ابزار نقاشی و رنگ آمیزی,,6689,76117,2882,3807,43.08566302885334,1649,1189,787,422,6.0,163.94999999999982,76109,73980,71452,77,6689,100.0,280000.0,736000.0,1090000.0
category1,ابزار کار هنری و دستی,,1688,5768,601,1087,35.6042654028436,229,129,58,20,3.0,34.0,5768,5573,5444,7,1688,100.0,210000.0,697300.0,5400000.0
category1,اتو و حالت دهنده ی مو,,691,17889,542,149,78.4370477568741,337,234,157,93,7.0,200.0,17887,16027,16863,64,691,100.0,1990000.0,9579000.0,34576850.0
category1,اسباب بازی,,42645,414786,19885,22760,46.62914761402275,9523,6580,4230,2185,4.0,130.0,414724,383876,388460,437,42631,99.96717082893657,350000.0,1600000.0,17900000.0
category1,استریل، گرم و خشک کننده شیشه شیر,,33,0,0,33,0.0,0,0,0,0,,,0,0,0,12,33,100.0,1680000.0,12990000.0,55599999.99999999
category1,اسپری,,2097,47825,1583,514,75.48879351454458,1045,757,505,282,8.0,199.6999999999996,47820,46116,45738,102,2097,100.0,388800.0,950000.0,2800000.0
category1,اصلاح موی بدن آقایان,,55,2677,49,6,89.0909090909091,38,31,22,15,15.0,200.0,2677,2377,2537,12,55,100.0,3423000.0,9800000.0,51746899.999999985
category1,اصلاح موی بدن بانوان,,284,8485,238,46,83.80281690140845,174,128,88,49,12.0,200.0,8483,7628,7923,49,284,100.0,2798000.0,12475000.0,130779999.99999976
category1,اصلاح موی سر,,599,19012,482,117,80.46744574290484,323,247,182,104,10.0,200.0,19010,16984,17946,58,599,100.0,3267500.0,10010000.0,67089000.00000002
category1,اصلاح موی صورت,,879,29856,726,153,82.5938566552901,541,418,303,173,13.0,200.0,29855,26298,28315,73,878,99.88623435722411,3000000.0,9940000.0,120599999.99999991
category1,اصلاح موی گوش، بینی و ابرو,,140,6754,127,13,90.71428571428571,103,84,65,42,20.0,200.0,6754,6412,6272,30,140,100.0,1859500.0,3878000.0,14259999.99999998
category1,البسه طبی و پزشکی,,342,1860,179,163,52.33918128654971,78,45,24,7,3.0,38.69999999999996,1860,1773,1721,8,342,100.0,380500.0,960000.0,5700000.0
category1,اکسسوری زنانه,,57514,124474,13348,44166,23.208262336126857,3585,1993,1134,517,2.0,36.0,124454,117539,115985,600,57510,99.99304517161039,420000.0,2700000.0,46449499.999999605
category1,اکسسوری زنانه و مردانه,,52644,238226,16845,35799,31.99794848415774,6229,3901,2327,1151,3.0,71.0,238195,226420,205337,543,52643,99.9981004482942,330000.0,1250000.0,29370000.0
